DEPCOM,UN APPARTEMENT,UNE MAISON
2798.0,3979.7894035007794,626.4328592392953
75101.0,4506.4962979312595,1003.6192993255762
75102.0,4585.285415151387,981.0125510121677
75103.0,4494.743915240043,1022.3179609020572
75104.0,4427.498776474954,1046.841269721025
75105.0,4632.875141338024,1078.2109166753094
75106.0,4497.998213380602,1181.5854731294683
75107.0,4620.170727848371,970.1071594893184
75108.0,4565.269029690022,1084.6430922011075
75109.0,4562.651859150669,1001.206008611785
75110.0,4539.866815143008,1058.9195830375452
75111.0,4635.704967555733,1091.6556577583747
75112.0,4621.314110335012,1103.5753276843607
75113.0,4493.2689861673125,1012.20941528906
75114.0,4450.988364379307,1032.0877218372677
75115.0,4740.411248105506,1209.62451934297
75116.0,4545.192183497214,1085.4919097505606
75117.0,4555.630721765816,1068.2494806777108
75118.0,4519.155186414035,1019.6873297125524
75119.0,4472.958928383289,1052.7100222475356
75120.0,4624.908981317552,1040.2063478799976
77001.0,4232.081952297786,1363.4298077676558
77002.0,4233.051412011227,1119.5896409560833
77003.0,4555.907162271094,1920.7695802558353
77004.0,4043.2271415057426,1237.622364577416
77005.0,4297.716510300081,1274.3725814123804
77006.0,4239.395737297672,1109.80554679158
77007.0,3965.761777357171,886.4066803896371
77008.0,4082.3393168368207,973.0406946473564
77009.0,3334.502308386041,621.8261778101552
77010.0,4017.2162314041852,964.7926181235154
77011.0,4531.293025543587,1500.461381976986
77012.0,4029.216276408265,1155.309341559651
77013.0,4596.513199362851,1256.624016123425
77014.0,4259.972811380593,1234.0665617019913
77015.0,4248.3971344878655,
77016.0,4264.2746807732565,1178.2817012823764
77018.0,4225.577958973784,1136.5046984500507
77019.0,4228.981096063997,1279.0679026227901
77020.0,3994.895808832993,1272.1127253230607
77021.0,4115.952712251553,1377.8814513600598
77022.0,4248.161792805142,1284.2499269475238
77023.0,3458.3345712330597,725.417712596617
77024.0,4287.938377703363,1979.7900998440268
77025.0,4308.731292706087,1135.0743727787667
77026.0,4573.069146140408,1473.561086948106
77028.0,4477.687061077947,1130.5684111681342
77029.0,3035.7526407912064,1105.6669888155168
77030.0,3720.896353557751,965.4077374436843
77031.0,4315.511003465666,1484.1039016680356
77032.0,4491.657527264542,1627.1432407454588
77033.0,3752.028970906695,917.0642119111999
77034.0,4177.123781451305,1122.7334716609805
77035.0,4603.815289014569,1796.2871708867547
77036.0,5042.319964187494,1064.3499422770888
77037.0,4322.703168834399,1247.2772698359367
77038.0,5016.81163921779,1397.3353689176304
77039.0,4198.445283107161,1299.8887691275927
77040.0,4063.1375400920024,1195.1854976621535
77041.0,4737.039967447825,1445.4673875050125
77042.0,4284.503314950322,1372.3184895510592
77043.0,4244.231212605772,1322.2867265025036
77044.0,4070.355247450215,1420.582047677913
77045.0,4257.981809562854,1286.794680107807
77046.0,4437.217491744998,1325.8181788486625
77047.0,4085.9030664455563,1142.1638138752103
77048.0,3952.224494552172,1239.7504888166802
77049.0,4423.476305031959,1273.7956704373146
77050.0,4427.572384733387,1573.8140943443202
77051.0,4251.814026722646,1269.3017531043793
77052.0,5047.742351599827,1965.733799867475
77053.0,4409.570869970668,1243.8379420025435
77054.0,3712.9745576192363,1048.2646277121642
77055.0,4199.701306493644,1150.9547373068385
77056.0,4525.135866770012,2091.564888642868
77057.0,4329.275486231009,1525.3022388605034
77058.0,4312.737093212283,1248.2411735571673
77059.0,4402.366965374364,1181.6134177475344
77060.0,4171.124898749271,1400.563609769631
77061.0,4088.267409776926,1251.1269338958928
77062.0,4326.510562798084,1000.3020045834337
77063.0,4248.088342969888,1202.4125005308802
77065.0,4423.401580952809,1531.6517211061168
77066.0,4835.402116975232,1457.2874601556016
77067.0,4078.631226545134,1195.2897796189445
77068.0,5393.924224628661,1090.1880675792356
77069.0,4260.148307595125,1288.8640223149607
77070.0,4313.4345044477,1310.6016665781544
77071.0,4874.908611001769,1337.219652917303
77072.0,4449.869433622845,1498.2185841973883
77073.0,4592.93162550141,1933.1471261550266
77075.0,4450.209849546047,1347.7005992861302
77076.0,4208.6115809137,993.6461885260119
77077.0,4349.721210648593,1083.336247155507
77078.0,4129.734530774595,1314.138720186844
77079.0,4363.142833226823,1164.367370138811
77080.0,3921.3844710293642,1237.410875234338
77081.0,4035.7463673493335,1515.7906574905878
77082.0,4683.380100313096,1399.8626492518927
77083.0,4441.616511409546,1197.0225039472682
77084.0,4551.500005674488,1183.217581826534
77085.0,4442.088166803171,1119.1050894035702
77086.0,4099.455950738424,1381.8648438794403
77087.0,3626.4314008431656,960.4280973024601
77088.0,4267.2414801288505,1320.8297712403569
77089.0,4492.718894772455,1433.3820155088229
77090.0,4618.619862510802,1345.1333478403785
77091.0,4685.9133854207275,930.9348621476921
77093.0,3739.48252128764,1090.3719968617766
